ID,ST04Q01,ST15Q01,ST19Q01,misced,fisced,CLCUSE1,ESCS,FAMSTRUC,BELONG,STUDREL,ATTLNACT,ATSCHL,ANXMAT,FAILMAT,INSTMOT,INTMAT,SMATBEH,MATHEFF,MATINTFC,MATWKETH,SCMAT,SUBNORM
665,2,4,1,5,6,1,0.05,2,1.42,0.81,1.2115,-0.64,0.56,-0.53,-1.12,-0.34,-0.0721,0.34,-1.5329,0.1099,0.18,-0.7176
666,1,1,1,4,5,3,0.06,2,0.08,-0.02,0.5206,-0.24,-0.47,-2.5995,0.05,-0.34,-1.0226,-0.48,-0.7332,0.2882,0.41,-0.0455
667,2,1,1,5,4,4,-0.15,1,-0.37,-0.02,-0.9394,-0.64,-0.47,-1.0202,-0.39,0.3,-0.4567,-0.77,1.4565,-0.0651,0.65,1.0265
668,1,1,1,6,5,2,1.93,2,0.32,-1.04,0.5206,0.77,0.06,-0.3017,0.05,-1.27,-0.4567,-0.48,-0.7332,-0.0651,0.18,0.3026
669,1,1,1,6,4,5,1.26,1,-0.9,0.81,0.0873,0.77,0.06,0.1524,-0.9,0,-1.0226,-0.02,0.6584,0.2882,-1.08,1.7943
670,1,1,1,6,6,2,1.2,1,-0.37,-0.48,0.5206,-1.22,1.89,0.64,-0.9,-1.78,-0.0721,-1.51,-1.5329,0.4684,-2.18,1.0265
671,2,1,1,4,5,2,0.09,2,-0.74,-1.04,0.0873,-0.24,1.02,-0.076,-0.67,-1.27,-1.0226,-0.63,-1.5329,-0.5641,-1.01,-0.7176
672,2,4,1,4,4,3,0.37,2,-1.87,-1.26,-2.1084,-1.22,0.06,0.64,-1.12,-0.34,-1.0226,-0.92,1.4565,-0.8805,-0.29,-0.3852
673,1,1,1,5,4,3,-0.17,2,1.84,0.45,-0.9394,-0.64,-0.54,0.1524,-0.39,-0.95,-0.0721,-0.63,-0.7332,-0.7235,-0.01,-1.3599
674,2,1,4,6,4,4,1.8,2,0.08,1.13,1.2115,0.77,-0.2,-1.2999,0.05,0.3,-0.4567,-0.26,-0.2514,0.1099,-0.06,1.0265
675,1,1,2,6,5,3,0.57,2,0.82,2.16,0.0873,-0.24,0.06,-0.3017,-0.39,-0.95,0.811,1.07,-1.5329,0.1099,0.41,0.3026
676,2,4,1,6,4,2,0.22,2,-0.15,0.81,1.2115,0.24,0.56,-0.3017,0.05,0.3,-0.4567,-0.33,0.6584,0.8307,-0.06,0.6602
677,2,4,1,4,4,3,-0.95,2,0.32,0.45,0.0873,0.77,-1.3,0.1524,1.59,2.29,1.7024,1.07,1.4565,2.7167,2.26,0.3026
678,1,1,1,5,4,3,0.73,2,1.42,2.16,1.2115,2.35,0.79,-0.076,1.59,-0.66,0.2171,-0.02,-0.2514,1.6881,-0.29,1.0265
679,1,1,1,4,4,3,-0.35,2,1.84,-0.48,1.2115,1.38,1.02,0.64,0.05,-0.66,-0.0721,2.27,-1.5329,0.2882,0.18,1.4014
680,2,2,1,4,4,3,-0.96,2,1.1,-0.48,1.2115,1.38,-0.47,0.1524,1.59,0.91,-1.0226,-0.02,1.4565,1.0166,0.88,1.0265
681,1,2,1,5,5,1,-0.5,2,0.82,2.16,1.2115,-0.24,2.55,0.64,1.59,2.29,-2.1402,-1.21,0.6584,-0.4017,0.18,2.235
682,2,4,1,4,4,2,-0.35,2,-1.05,-1.68,-0.9394,-0.95,-1.3,-1.2999,0.05,-0.34,-0.4567,2.27,-0.2514,-0.2356,2.26,-0.0455
683,1,1,1,4,1,3,0.4,2,-0.15,0.45,1.2115,-1.46,1.26,0.64,0.8,-0.66,-0.0721,-0.48,-0.2514,-0.2356,-0.76,-0.0455
684,1,2,1,5,4,3,0.18,2,0.32,-1.26,1.2115,-1.22,0.79,-0.3017,0.8,1.81,0.811,0.78,-0.2514,0.1099,0.65,0.3026
685,2,1,1,6,4,3,1.27,2,0.56,0.45,0.0873,-0.95,-1.68,-2.5995,-1.12,0,0.2171,1.47,-1.5329,-0.8805,1.12,-0.3852
686,2,1,3,5,5,2,-0.68,1,-0.9,-1.68,-1.4236,-1.7,-0.73,-0.767,0.05,0,-0.0721,-0.48,0.6584,-1.3412,0.88,-0.0455
687,1,1,1,5,5,3,0.34,2,-0.15,-0.02,1.2115,1.38,-0.2,-1.0202,1.59,0,-0.4567,-0.18,0.6584,0.2882,-0.06,0.3026
688,2,1,1,5,5,4,0.52,1,2.63,-0.48,1.2115,1.38,0.06,0.3889,1.59,-0.66,-2.1402,2.27,-0.2514,-0.0651,1.38,0.3026
689,2,1,1,6,6,4,1.55,2,0.08,-0.02,0.0873,1.38,-1.3,-1.0202,1.59,1.51,1.0998,2.27,-0.7332,1.0166,1.7,1.4014
690,2,1,1,5,4,5,0.27,2,-0.56,-0.02,1.2115,-0.24,0.32,0.64,-0.67,-0.34,-0.4567,-0.77,-0.7332,-0.0651,-0.06,0.3026
691,1,2,1,4,4,3,0.48,2,-1.53,-1.26,-0.9394,0.24,0.32,-0.3017,-2.3,-1.78,-0.4567,-0.02,-1.5329,-0.2356,-0.52,-0.0455
692,1,1,1,5,5,2,-0.22,2,1.42,2.16,1.2115,2.35,0.06,-1.2999,1.59,0.58,0.2171,-0.33,-0.7332,2.7167,-0.76,1.0265
693,1,2,3,5,5,3,0.22,2,0.32,-0.02,1.2115,-0.24,0.06,-1.6239,0.05,-0.34,0.2171,-1.86,-1.4164,-0.2356,0.08,1.0265
694,1,1,1,6,4,3,0.01,2,-0.15,2.16,1.2115,0.24,-1.3,-1.2999,-0.39,0.91,0.2171,-0.02,-1.5329,0.4684,0.65,-0.3852
695,1,1,1,5,6,2,1.18,2,0.08,-0.48,1.2115,0.77,0.79,-0.076,1.59,0.3,0.811,-0.48,-0.2514,0.2882,-0.29,1.4014
696,1,1,1,4,4,3,-0.22,2,-0.37,-0.48,-0.3397,-0.64,0.56,-0.076,-2.3,-1.78,0.2171,-1.86,-1.5329,-0.2356,-1.28,0.3026
697,1,1,1,4,2,2,0.06,2,-0.37,-0.02,1.1083,-0.64,1.02,-1.2999,0.05,0.58,-0.0721,-0.92,1.4565,-0.7235,-0.52,2.8039
698,1,1,1,6,6,4,1.78,2,2.63,0.81,0.0873,-0.24,-0.47,-0.53,0.05,0,0.4486,2.27,0.6584,0.1099,0.65,1.0265
699,1,2,1,5,6,4,1.22,2,-0.56,-0.02,1.2115,-0.24,-0.2,-1.0202,0.5,1.51,0.811,0.54,1.4565,0.4684,1.12,0.6602
700,2,4,1,4,4,3,0,2,-0.9,-0.02,0.5206,-0.24,0.06,-1.0202,0.05,1.51,-0.4567,-0.33,0.6584,0.8307,1.7,-0.3852
701,1,2,1,4,6,4,0.18,2,0.32,1.51,0.5206,-0.24,-0.2,1.2219,-1.12,-1.27,-1.0226,-0.63,-1.5329,1.0166,0.27,-0.3852
702,2,2,1,4,6,2,0.16,2,0.56,1.13,1.2115,0.77,1.53,-0.767,0.5,0.58,0.6426,-0.02,-0.2514,0.4684,0.18,1.0265
703,1,4,1,2,2,4,-0.56,2,1.1,1.13,0.0873,2.35,0.06,-0.53,1.59,2.29,0.9618,1.07,1.4565,0.1099,1.12,1.4014
704,2,4,1,4,6,3,-0.05,2,0.08,-0.02,0.5206,-0.24,-0.2,-1.6239,-1.12,-0.34,-2.1402,-0.48,-0.2514,-0.2356,-0.06,0.3606
705,2,4,1,4,4,3,-0.35,2,-0.37,0.81,1.2115,0.24,2.55,0.1524,0.5,-1.27,0.4486,-0.77,-0.2514,-1.3412,-0.76,1.0265
706,1,1,1,4,4,5,-0.36,2,-0.56,-1.47,-0.3397,-1.7,1.26,0.9139,-0.9,-1.78,0.4486,0.54,-1.5329,2.7167,-1.28,-0.0455
707,1,1,1,6,6,3,0.83,2,0.56,0.45,1.2115,0.77,-1,-1.2999,1.11,0.58,-0.0721,1.07,-0.2514,0.1099,1.12,0.3026
708,1,1,1,2,5,4,0.96,2,1.42,2.16,0.5206,2.35,1.53,0.3889,0.5,-0.95,-1.0226,-0.33,-0.7332,1.4298,-2.18,0.6602
709,2,1,1,5,2,3,-0.24,2,-0.74,-0.79,-0.3397,0.24,1.02,0.3889,-0.39,-0.34,-0.0721,-1.36,-1.5329,-0.4017,-1.61,0.6602
710,1,1,4,6,5,3,1.54,2,-1.75,-0.79,1.2115,-0.24,0.56,0.64,1.59,0,-0.4567,0.54,-0.7332,2.0389,0.65,0.6602
711,1,4,1,5,4,3,0.36,1,-0.15,-1.26,0.5206,0.77,0.32,-0.53,0.05,-1.78,-2.1402,0.34,-0.2514,-0.5641,-1.01,-1.9864
712,2,2,1,5,4,3,0.01,2,-1.18,-0.02,-0.3397,0.24,1.02,0.64,-0.39,-0.95,-1.0226,-0.77,0.1775,-0.5641,-1.28,1.0265
713,1,2,1,6,6,3,1.39,2,-0.37,1.51,1.2115,0.77,-0.73,-1.0202,1.59,0.58,0.4486,0.67,-0.7332,0.649,0.65,1.4014
714,2,1,1,6,4,3,1.25,2,0.56,-0.48,1.2115,1.38,0.32,1.2219,-1.83,0,0.2171,0.54,0.6584,-1.4948,0.41,-0.7176
715,1,1,1,4,4,3,-0.87,2,-1.18,-0.48,-0.9394,-0.64,0.06,0.3889,0.05,-0.34,-1.0226,-0.92,-0.2514,-0.8805,-0.52,-0.0455
716,1,3,1,5,5,3,0.17,2,-0.37,-0.48,0.5206,-0.64,2.55,1.2219,-0.9,-1.78,-1.0226,-1.68,0.1775,0.1099,-2.18,-0.3852
717,2,4,2,6,6,3,0.28,2,-0.9,1.13,0.5206,1.38,1.89,0.3889,0.05,0,0.9618,-0.18,1.4565,1.0166,1.38,0.6602
718,2,2,1,6,6,3,1.67,2,1.42,0.81,0.0873,0.24,-1,-0.53,-1.12,0.91,0.811,0.78,-0.2514,-0.7235,1.38,-0.3852
719,2,1,2,6,6,3,1.1,2,-0.9,-0.02,0.0873,-0.64,0.56,0.1524,0.5,-0.34,0.2171,1.47,-0.2514,0.0696,0.88,0.3026
720,1,2,1,6,6,3,0.72,2,-0.37,2.16,1.2115,2.35,-0.2,-1.2999,1.11,0.3,-1.0226,-0.33,-0.7332,2.7167,0.88,1.7943
721,1,1,1,4,4,2,-0.04,2,0.56,0.81,0.0873,1.38,-0.2,-0.3017,0.8,0.91,-0.4567,-0.48,-0.2514,0.649,0.18,2.235
722,1,1,1,4,5,3,-0.08,2,-1.34,-0.48,-1.9158,-0.64,2.55,0.64,-1.12,-1.78,-1.0226,-1.86,-0.7332,-1.4948,-2.18,-1.0426
723,2,1,1,6,6,2,0.85,2,-0.37,0.45,-0.3397,-0.24,0.32,-1.2999,-1.12,0.3,0.2171,0.54,-1.5329,0.2882,-1.28,0.3026
724,1,1,1,6,4,4,1.37,2,-0.37,1.13,1.2115,0.24,0.56,0.1524,0.5,-0.66,-0.0721,0.34,-0.2514,2.7167,0.65,-0.0455
725,1,1,1,4,6,1,0.19,2,0.32,-1.47,-1.7015,-0.95,0.56,1.5828,-2.3,-1.78,-2.1402,-2.57,-1.5329,-1.1886,-1.28,0.6602
726,1,1,1,4,4,4,-0.17,2,1.84,0.45,-3.3758,2.35,-0.47,-1.6239,1.11,0.58,0.2171,0.34,-1.5329,1.6881,0.18,-0.3852
727,2,1,1,6,4,1,0.39,2,-0.37,-0.48,0.0873,0.24,0.06,-0.767,0.05,0,0.4486,-0.48,-1.5329,-0.4017,-0.29,-0.0455
728,2,1,1,5,5,1,1.03,2,-1.18,-2.16,-1.9158,-1.7,-0.47,0.3889,-1.33,-1.27,-0.0721,2.27,-0.7332,-1.0353,-1.01,-0.3852
729,2,1,1,5,5,4,0.57,2,-0.15,-0.79,0.5206,0.77,0.56,0.9139,-0.39,-1.78,-2.1402,0.15,1.4565,0.8307,-0.29,-0.3852
730,2,1,1,6,4,5,1.26,1,1.84,0.45,1.2115,2.35,0.06,0.3889,1.59,0.3,-0.0721,2.27,0.6088,0.1099,1.7,-0.0455
731,2,4,1,4,2,3,-0.63,2,-0.37,0.81,0.5206,0.24,-0.47,-1.0202,0.8,1.51,0.6426,0.54,0.6584,0.8307,0.41,1.0265
732,1,1,1,4,4,4,0.38,2,1.1,1.13,0.5206,0.77,0.11,-0.767,-0.46,0.47,-0.0721,1.07,-1.4164,0.4684,0.65,0.2177
733,1,4,1,5,5,2,1.11,2,-0.15,-0.02,-1.4236,0.77,0.06,-1.2999,-0.67,-0.34,-0.4567,-0.48,-0.477,-0.2356,-0.29,-0.3852
734,1,1,1,6,6,2,1.47,2,2.63,0.81,0.5206,2.35,-0.2,-1.6239,0.5,1.23,-0.0721,-0.18,-0.2514,1.0166,0.41,1.4014
735,2,1,1,6,4,3,0.55,2,1.1,-0.02,0.5206,-0.24,-0.2,-2.5995,1.59,0,-2.1402,0.54,-0.7332,0.1099,-0.29,1.0265
736,2,2,1,4,4,3,-0.58,2,2.63,-0.02,-0.3397,-0.64,-1.3,-2.0269,0.05,0.91,-0.4567,0.15,1.4565,1.0166,1.7,-0.0455
737,2,1,4,5,1,3,0.35,2,0.82,-0.02,1.2115,0.24,-1.3,-1.6239,1.59,1.51,0.811,1.47,1.4565,1.4298,1.7,1.0265
738,2,1,1,4,4,2,0.66,2,1.1,-0.02,1.2115,1.38,-0.2,-0.076,-0.67,-0.34,-0.0721,-0.48,1.4565,-0.2356,0.18,0.3026
739,1,3,2,4,2,3,-0.73,2,0.32,0.81,0.5206,0.77,-0.2,-0.53,0.8,0.58,0.4486,0.15,-0.2514,1.2128,0.88,1.0265
740,1,4,1,5,4,2,0.62,2,-0.15,-0.48,1.2115,-0.24,-0.73,0.3889,-1.12,-1.78,-1.0226,-1.21,-0.6441,0.4684,-0.29,-1.3599
741,2,1,1,6,6,3,0.61,1,-1.64,-3.11,-3.3758,-0.95,-2.37,-3.7666,-2.3,-1.78,-2.1402,-3.75,-1.5329,-3.4503,-1.01,-4.2456
742,2,1,1,4,1,2,0.36,2,2.63,1.13,-0.9394,0.77,0.56,-0.076,-0.39,-0.66,0.2171,2.27,-0.7332,-0.7235,-0.29,-0.3852
743,1,1,1,5,4,3,1.05,2,-0.37,-0.02,0.0873,-0.64,0.06,-1.2999,0.05,0.91,-0.0721,-1.21,0.6584,0.2882,0.65,-0.0455
744,2,2,1,6,6,2,2.38,2,-0.15,1.13,1.2115,0.24,0.56,0.1524,0.8,0,-0.0721,0.15,-0.7332,-0.4017,-0.06,1.0265
745,2,4,1,4,5,2,0.76,2,-0.37,-0.02,-0.9394,-0.24,-0.47,-1.0202,0.05,0.91,0.4486,-0.18,-0.2514,0.1099,-0.29,0.3026
746,2,1,1,6,6,3,1.46,2,0.32,0.81,1.2115,1.38,0.79,0.64,1.11,0.3,0.4486,-0.48,0.6584,0.2882,0.18,2.8039
747,1,3,1,6,2,3,0.55,2,0.56,0.45,0.5206,1.38,0.32,-0.767,0.8,0.3,0.4486,-0.92,0.1775,-0.2356,-0.52,0.3026
748,2,1,1,4,1,3,-1.37,2,-0.74,0.45,-0.9394,-1.46,0.56,-0.076,-0.67,-0.34,-1.0226,-0.77,-1.5329,-0.4017,-0.52,-0.3852
749,1,1,1,4,4,3,0.3,2,-0.37,-0.48,1.2115,-0.24,0.56,0.9139,0.05,-0.66,-1.0226,2.27,0.1775,0.1099,1.12,0.3026
750,2,1,1,4,4,3,-0.84,2,-0.37,-0.02,-0.9394,-0.24,0.06,-0.076,0.05,-0.66,-1.0226,-1.06,-1.5329,-0.7235,-0.06,-0.3852
751,1,1,1,6,5,3,-0.24,2,-0.37,0.45,1.2115,0.24,-0.2,-0.53,0.05,0.3,0.2171,0.15,-0.2514,0.8307,0.88,1.4014
752,2,1,1,6,6,3,0.01,2,-0.37,-0.02,0.5206,-0.24,0.32,-1.0202,1.59,1.23,1.4702,-0.02,0.1775,2.7167,0.65,0.6602
753,1,4,1,5,5,3,0.44,2,-0.37,0.45,-0.3397,0.24,0.32,-0.53,-0.9,-0.34,-1.0226,0.15,-0.7332,0.1099,-0.29,-0.7176
754,1,1,1,4,5,3,0.65,2,-0.37,-0.02,-0.3397,-0.64,0.56,0.1524,-0.9,0.3,-0.0721,-0.48,-0.2514,-0.2621,-0.06,-0.0455
755,1,1,1,4,4,3,0.12,2,-1.64,-0.48,0.0873,-0.24,0.06,-0.53,-0.39,-1.27,-1.0226,-0.34,0.4296,0.4684,0.18,-0.3852
756,1,2,1,6,6,2,1.18,2,-0.9,-0.02,-0.3397,-0.24,-0.2,0.9139,-0.39,0.91,-0.4567,-0.02,0.1775,-0.0651,0.41,1.4014
757,1,1,3,4,4,3,-0.71,2,1.1,1.13,1.2115,1.38,-0.2,0.64,0.8,-0.34,0.6426,0.15,-0.2514,1.2128,0.18,0.6602
758,1,1,1,6,5,3,0.56,2,0.08,0.81,0.0873,0.77,0.56,-0.767,0.5,-0.66,0.2171,-0.33,0.1775,0.649,-0.06,0.3026
759,1,1,1,6,6,3,1.06,2,-0.74,1.13,0.5206,0.24,-1,0.1524,0.05,-0.95,0.2171,0.54,0.6584,0.1099,1.38,-0.0455
760,2,1,1,6,6,3,1.31,2,1.84,1.51,1.2115,0.77,-2.37,-3.7666,-0.67,1.23,0.2171,2.27,-0.7332,0.649,2.26,1.0265
761,1,1,1,5,5,2,-0.12,2,-0.56,-0.48,1.2115,1.38,-1,-0.53,1.11,1.51,-0.4567,-0.02,-0.2514,0.2882,1.38,0.6602
762,2,1,1,5,4,1,0.9,2,0.32,-0.02,-1.4236,-0.95,0.32,-0.53,-0.9,0,-1.0226,-0.18,-1.5329,-0.2356,-0.52,-0.3852
763,2,1,4,4,6,3,0.98,2,-0.37,-0.02,1.2115,0.77,-1.68,-3.7666,0.05,0.58,-1.0226,0.34,1.4565,-0.2356,0.88,0.3026
764,2,1,1,5,4,2,0.21,2,-0.15,-0.02,-0.3397,-0.24,-0.2,-0.3017,-0.67,0,0.2171,1.07,-1.5329,0.2882,0.18,-0.0455
765,1,1,1,6,6,3,0.43,1,-0.9,-2.16,-1.9158,-0.64,1.02,1.2219,-0.39,-0.34,0.2171,-1.06,-0.7332,-1.8165,-2.18,0.3026
766,1,1,1,5,6,3,0.47,2,1.42,0.45,1.2115,1.38,-1,-0.767,1.59,1.81,-1.0226,-0.02,1.4565,2.0389,2.26,0.6602
767,2,1,1,5,6,2,0.68,2,-0.37,-0.48,-0.9394,-0.64,-0.2,-0.076,0.05,0.58,-0.4567,-0.63,1.4565,-0.0651,0.41,0.3026
768,1,1,1,5,6,2,1.62,2,-1.18,-0.02,-0.3397,-0.64,1.89,0.3889,-1.33,-1.78,-0.0721,-0.63,-0.6509,0.2882,-1.01,0.3026
769,2,1,1,4,4,3,0.54,2,-0.15,1.51,1.2115,-1.46,-0.2,-1.0202,1.11,0.58,1.3516,1.07,1.4565,0.649,1.38,1.4014
770,2,3,3,4,4,3,-0.68,2,0.32,0.81,1.2115,-0.24,-0.73,0.64,0.8,0.91,0.2171,-0.02,-0.2514,0.649,1.12,1.2844
771,2,1,1,4,4,1,-0.84,1,-1.05,-1.04,-1.7015,-1.96,0.06,3.9067,0.05,0.3,1.7024,-0.48,-0.2514,2.7167,-0.06,-0.3852
772,1,1,1,6,6,2,0.5,2,1.84,0.81,1.2115,0.24,0.56,0.3889,1.11,0,0.6426,0.54,-1.5329,0.8307,-0.06,1.7943
773,1,3,1,5,4,3,0.37,2,-0.37,-0.02,0.0873,0.24,0.32,0.1524,1.59,0,-0.4567,0.15,-0.2514,0.8307,0.41,0.6602
774,1,1,1,5,5,2,0.82,2,0.32,0.45,1.2115,0.24,0.56,0.64,1.59,0.3,-1.0226,-0.02,1.2691,-0.5641,-0.06,1.0265
775,1,1,1,5,4,3,0.37,2,-1.42,-0.48,1.2115,-0.24,0.79,-0.3017,-2.3,-1.78,-2.1402,-0.33,-1.5329,-0.0651,-1.28,-1.9864
776,2,2,1,6,4,2,0.48,2,-1.64,-1.04,0.0873,-1.7,-1,-0.53,-0.9,0,-0.0721,-0.18,0.1775,-0.5641,0.65,-0.4904
777,2,1,1,6,4,3,0.85,2,0.56,1.13,1.2115,1.38,1.53,-1.2999,1.59,1.51,0.9618,0.54,1.4565,0.1099,0.18,1.4014
778,2,2,1,4,6,3,1.4,2,0.08,1.13,1.2115,2.35,-1,-1.0202,0.8,0,0.2171,1.07,-0.2514,1.6881,1.38,-0.3852
779,2,3,1,4,5,3,0.7,2,0.56,0.81,0.5206,0.77,0.32,0.64,-1.56,-0.34,-1.0226,0.15,-1.5329,1.0166,-0.29,0.6602
780,2,4,1,6,5,3,0.91,1,-1.37,-2.16,-1.7015,-1.96,0.32,-0.076,0.05,0.91,1.7024,2.27,0.1775,-0.2356,0.18,3.8587
781,1,1,2,6,4,3,1.35,2,-0.9,1.13,1.2115,-0.24,1.02,0.64,-0.67,0,-0.4567,2.27,1.195,0.4684,0.18,-0.3852
782,2,1,1,5,4,3,0.94,2,-0.15,-0.02,1.2115,0.24,1.89,-0.3017,-1.33,-1.78,0.2171,-0.63,-0.7332,-0.5641,-1.01,-0.7176
783,1,1,4,6,4,2,0.61,2,-0.37,-0.02,-0.9394,-0.24,0.32,-1.0202,0.05,0,-0.0721,-0.63,-0.7332,0.1099,-0.52,-0.0455
784,2,1,1,6,5,2,0.33,2,-0.37,-0.48,-0.3397,-0.95,-0.47,-0.076,-1.12,-0.34,-2.1402,0.54,1.4565,-0.8805,0.65,0.3026
785,1,1,1,5,4,3,-0.42,2,-0.56,-0.48,-0.9394,-0.24,0.06,-0.3017,0.05,-0.34,-1.0226,-0.92,1.2499,0.4684,-0.29,-0.7176
786,2,4,1,4,5,2,0.92,2,0.32,-0.02,-0.9394,-0.24,0.06,-0.767,0.05,-0.95,-0.0721,-0.18,-0.2514,0.1099,0.18,-0.3852
787,1,1,1,5,4,3,0.08,2,0.32,-0.02,-0.9394,-0.24,-0.47,0.1524,0.05,-0.34,-2.1402,-0.63,-0.6441,-0.2356,0.18,-0.3852
788,2,4,1,4,4,3,-0.25,2,2.63,-0.02,1.2115,0.77,0.32,-0.767,1.59,1.81,1.0998,2.27,1.4565,0.649,0.18,3.8587
789,2,2,2,5,2,2,-0.3,2,0.32,-0.02,-0.9394,-0.24,0.56,-0.5202,0.05,-0.34,-1.0226,-0.48,0.6584,-0.5641,0.18,-0.7176
790,1,1,1,5,4,3,0.99,2,1.1,1.51,1.2115,1.38,-1.68,-0.767,0.5,1.81,-0.0721,1.07,1.4565,1.6881,1.38,1.4014
791,1,1,2,6,5,3,0.53,2,0.82,1.13,0.5206,0.24,-0.2,-1.6239,1.59,0.3,0.6426,2.27,-0.4864,0.1099,-0.06,1.4014
792,1,1,1,2,5,3,1,2,0.82,1.13,1.2115,2.35,0.32,0.3889,1.59,0,-0.4567,1.07,-0.7332,1.6881,-0.06,1.0265
793,1,1,1,4,4,3,-0.22,2,-0.56,0.81,0.5206,0.24,0.79,0.9139,-0.67,0,-0.4567,-0.92,-0.7332,0.4684,-0.29,0.3026
794,1,1,1,6,6,2,1.65,2,1.1,1.13,-0.3397,-0.24,0.32,-1.2999,0.8,-1.27,-1.0226,-0.02,-0.2514,-0.0651,0.18,1.0265
795,1,1,1,6,6,2,1.4,2,-0.56,1.13,0.5206,0.77,-0.47,-1.2999,0.5,1.51,0.811,-0.02,0.1701,-0.0651,1.38,1.0265
796,1,1,1,4,4,3,-0.3,2,0.32,-2.5,-0.9394,-1.22,2.55,1.2219,0.05,-1.78,-1.0226,-2.57,-1.5329,-2.4418,-2.18,-1.3599
797,1,1,1,6,5,1,0.61,2,-0.56,-0.48,-0.3397,0.24,0.56,-0.076,0.05,-0.95,-2.1402,-0.18,-0.7332,0.2882,-0.52,-0.0455
798,1,1,2,6,5,2,0.2,2,-0.56,1.13,-0.3397,0.77,0.56,0.64,0.05,-1.18,-0.4567,-0.77,-0.2514,0.8307,-2,1.0265
799,2,1,1,6,5,3,0.29,2,-0.15,0.45,-1.4236,-0.64,-1.68,0.64,-0.9,-0.34,-0.0721,1.47,-1.5329,-0.7235,0.41,0.3026
800,2,2,3,5,5,4,-0.25,2,-0.15,2.16,1.2115,-0.24,0.56,-1.0202,0.5,0.91,-0.4567,1.07,-1.5329,0.1099,0.18,0.6602
801,1,2,1,4,2,3,0.53,2,0.82,1.13,1.2115,0.24,1.89,0.9139,-0.9,-1.78,-2.1402,-0.33,-1.5329,1.6881,-1.01,-0.3852
802,1,1,1,6,6,3,1.94,2,1.84,1.13,1.2115,2.35,0.56,0.64,0.05,-0.34,-0.0721,-0.02,-1.4788,1.2128,-0.52,-0.3852
803,2,1,4,6,6,4,1.46,2,2.63,2.16,1.2115,-0.64,-1.68,-0.3017,1.59,1.23,0.4486,1.07,-0.2514,-0.2356,1.38,3.8587
804,2,1,1,4,6,2,1.4,2,0.82,0.45,0.5206,0.24,-1.3,0.1524,0.05,0.3,-0.0721,0.15,-0.2514,0.1099,0.88,1.0265
805,1,1,1,6,6,3,0.87,2,-1.18,-0.02,-0.3397,-0.64,0.79,-0.076,-0.39,-0.34,-0.4567,-1.68,-0.2514,0.8307,0.41,0.3026
806,1,1,1,4,6,4,0.74,2,-0.56,-0.02,0.5206,0.77,-0.2,-0.076,-0.67,0,-0.0721,1.07,-0.2514,0.1099,1.7,0.6602
807,1,1,4,6,5,3,1.11,2,-0.37,-0.02,-0.9394,-0.24,1.02,0.3889,-0.39,-0.34,-0.4567,-0.33,-0.7332,-0.2356,-0.52,-0.7176
808,2,1,1,6,6,3,1.5,2,-0.37,-0.02,-0.3397,-0.24,-0.47,-1.0202,0.05,-0.34,-2.1402,-0.18,1.4565,0.2882,0.65,-0.0455
809,2,2,1,6,6,4,1.5,2,0.82,-0.02,1.2115,0.24,-1.68,-0.767,1.59,1.81,0.9618,2.27,-0.2514,2.0389,2.26,1.7943
810,2,1,1,5,6,4,0.74,2,1.42,-0.02,1.2115,1.38,0.06,-1.8905,0.05,0,0.4486,0.15,1.4565,0.2882,0.88,2.235
811,2,1,1,5,4,3,1.1,2,1.1,2.16,1.2115,1.38,0.32,-0.3017,1.11,-0.66,-1.0226,2.27,-0.3578,-0.8805,-0.52,1.7943
812,1,1,1,6,5,3,1.56,2,-0.56,2.16,1.2115,0.24,-0.2,0.9139,0.05,0.58,-0.0721,0.78,-0.7332,1.6881,0.41,0.6602
813,2,4,3,6,6,3,0.62,2,-0.15,0.81,1.2115,-1.7,0.79,-0.767,0.05,-0.34,0.6426,2.27,1.4565,-0.4017,-0.76,0.6602
814,1,2,1,5,6,2,-0.03,1,-0.74,0.45,-0.9394,-0.95,1.02,-0.3017,0.05,-0.66,-2.1402,-1.06,-0.7332,-0.0651,-1.28,1.4014
815,2,1,2,6,2,2,1.19,2,-1.87,-1.04,-0.9394,-0.95,1.02,1.5828,-0.39,-0.34,-0.4567,0.34,-0.7332,-0.2356,-0.52,-0.0455
816,1,1,1,6,4,3,2.04,2,-0.37,1.51,1.2115,-0.24,0.79,0.64,-0.67,-0.34,0.2171,-0.77,-0.7332,1.4298,-0.52,0.3026
817,2,1,2,6,6,2,1.84,2,0.82,-0.02,0.5206,0.77,0.32,-0.3017,1.11,0,0.4486,-0.02,0.1775,0.649,-0.06,1.0265
818,2,1,1,6,6,2,1.39,2,-1.53,1.51,0.5206,2.35,0.56,-0.767,0.05,0.91,0.2171,0.15,1.4565,1.4298,-0.52,2.235
819,1,2,1,6,4,4,1.46,2,2.63,-0.02,1.2115,0.77,-0.47,0.1524,1.59,2.29,0.9618,1.47,1.4565,1.6881,1.38,1.7943
820,1,1,1,6,4,2,1.27,2,-0.15,0.45,1.2115,1.38,-0.2,0.3889,0.8,-0.66,-2.1402,-0.18,0.1775,-0.4017,-0.06,1.0265
821,1,1,1,4,4,3,0.63,2,1.1,-0.02,0.5206,0.24,-0.2,-0.767,1.11,1.51,0.811,1.07,1.4565,0.8307,0.88,1.7943
